Method,Return,Risk,Sharpe Ratio,Selected Assets
Qaoa,0.672131431728994,0.6472927510475347,1.0383731791237614,"AMZN, GOOGL, GLD, MSFT"
Equal Weight,0.5910452009246684,0.5240782354980866,1.1277804741556114,"GOOGL, MSFT, XOM, GLD"
Min Variance,0.47183723301361136,0.41839935256622324,1.1277197971737543,"MSFT, JNJ, XOM, GLD"
Risk Parity,0.47183723301361136,0.41839935256622324,1.1277197971737543,"MSFT, JNJ, XOM, GLD"
